,title,img_link,alcohol,size,wine_type,sparkling,sweetness,grape_type,country,aroma,flavor,winery,color,food_pairing,charms,link
0,2% Sweet White ,http://www.wine.co.kr/upload/products/wineList/italy/2SweetWhite.png,2.0%,750ml,White,Still,Sweet,모스카토,"이태리, 피에몬테, 아스티",상큼하고 매력적인 아로마,"깨끗한 모스카토의 아로마가 정교한 과일향과 조화를 잘 이뤄 여성 뿐만 아니라, 모든 사람들에게 사랑받을 와인이 될 것입니다.",산테로,녹색빛이 도는 밝은 밀짚색,"대부분의 서양음식 뿐만 아니라, 한국음식과도 잘 매칭 됩니다.",2% 모스카토는 신의물방울에 소개된 피에몬테 아스티 지역의 세계적인 와이너리,http://www.wine.co.kr/wine/349
1,Gran Tierra Red ,http://www.wine.co.kr/upload/products/wineList/spain/GranTierraRed.png,11.0%,750ml,Red,Still,Semi Sweet,기타,"스페인, 발데빼냐스",신선한 과일의 아로마,부드러운 탄닌의 밸런스와 부드러운 여운을 보여주는 이 와인은 달콤한 맛이 잘 살아 있어 와인을 처음 드시는 분들도 쉽게 즐기실 수 있는 미디엄 스위트 레드 와인입니다.,Felix Solis,바이올렛의 컬러가 살짝 감도는 반짝이는 루비색,"파스타, 가금류, 육류",합리적인 가격과 부담없는 맛으로 인기 있는 스페인 와인,http://www.wine.co.kr/wine/240
2,Gran Tierra White ,http://www.wine.co.kr/upload/products/wineList/spain/GranTierraWhite.png,10.5%,750ml,White,Still,Semi Sweet,기타,"스페인, 발데빼냐스",각종 꽃과 열대 과일의 아로마,"드라이하지 않고 단맛이 잘 살아 있는 미디엄 스위트 와인으로 일상적이고 캐쥬얼한 자리에도 잘 어울리며, 특히 와인을 처음 접하시는 분들도 쉽게 즐길 수 있는 와인입니다.",Felix Solis,신선한 레몬칼라,"생선 및 각종 해산물 요리, 샐러드",합리적인 가격과 부담 없는 맛으로 인기 있는 스페인 와인,http://www.wine.co.kr/wine/241
3,Ch' Carmarsac Cuvee Prince Noir ,http://www.wine.co.kr/upload/products/wineList/france/ChCarmarsacCuveePrinceNoir.png,13.0%,750ml,Red,Still,Dry,"카버네 소비뇽, 멜롯, 기타","프랑스, 보르도, 오메독","붉은 과실향,약간의 흙내음",둥글고 과일향이 풍부하며 산도와 탄닌의 적절한 균형감,La Passion,짙은 루비빛,"각종 고기류, 치즈, 각종 이태리 요리 (스파게티) 등",전형적인 보르도의 클래식한 스타일로 선물용으로도 손색없는 와인이다.,http://www.wine.co.kr/wine/477
4,HOBNOB Cabernet Sauvignon ,http://www.wine.co.kr/upload/products/wineList/france/HOBNOBCabernetSauvignon.png,13.0%,750ml,Red,Still,Dry,카버네 소비뇽,"프랑스, 랑귀독",블루베리 아로마가 처음 코에 와 닿으며 적색과일과 함께후추 등의 향신료향이 느껴진다.,까버네 소비뇽 특유의 탄닌과 산도 그리고 잘 짜여진 구조감으로 마무리 지어진다. 친구들이나 지인들과 모이는 자리에 부담없이 즐기기에 적격인 와인이다.,홉노브,짙은 루비빛,"구운고기, 불고기, 각종 고기 및 치즈류 등",Casual스타일의 Easy-Drink 프랑스 와인,http://www.wine.co.kr/wine/449
5,Casa Silva Coleccion Merlot ,http://www.wine.co.kr/upload/products/wineList/chile/CasaSilvaColeccionMerlot.png,13.0%,750ml,Red,Still,Dry,멜롯,"칠레, 콜차구아 벨리(Colchagua Valley)","과일향, 자두, 라스베리, 및 화이트 후추향","구조감이 뛰어나며, 풀바디하면서도 균형잡힌 맛을 느낄 수 있습니다.",Casa Silva,반짝이면서도 짙은 루비색,"붉은 육류, 파스타, 치즈",칠레에서 가장 빠르게 성장한 Wine of Chile Awards 2003 Carmenere 품종으로 최다 수상한 대외적으로 인정받고 있는 와이너리,http://www.wine.co.kr/wine/161
6,Casa Silva Coleccion Chardonnay ,http://www.wine.co.kr/upload/products/wineList/chile/CasaSilvaColeccionChardonnay.png,13.5%,750ml,Red,Still,Dry,샤도네이,"칠레, 콜차구아 벨리(Colchagua Valley)",버터향과 열대 과일향이 오크향과 잘 조화를 이루고 있습니다.,신선하면서도 이국적인 맛이 나며 좋은 구조감과 균형감을 가지고 있으면서 오래 지속되는 끝 맛이 일품입니다.,Casa Silva,밝은 녹색 빛이 감도는 노란색 빛깔,"흰살 육류, 각종 해산물, 부드러운 치즈",칠레에서 가장 빠르게 성장한 Wine of Chile Awards 2003 Carmenere 품종으로 최다 수상한 대외적으로 인정받고 있는 와이너리,http://www.wine.co.kr/wine/162
7,Casa Silva Coleccion Cabernet ,http://www.wine.co.kr/upload/products/wineList/chile/CasaSilvaColeccionCabernet.png,13.5%,750ml,Red,Still,Dry,카버네 소비뇽,"칠레, 콜차구아 밸리(Colchagua Valley )",짙은 루비 칼라. 약간의 오크향과 쵸콜릿 향이 자두와 체리향,"입 안에서는 매력적이면서 파워풀하고, 우아하면서도 잘 균형잡힌 구조감을 느끼실 수 있습니다. 지속적이면서도 부드러운 탄닌 맛과 오래가는 끝 맛이 인상적입니다.",Casa Silva,짙은 루비 빛,"붉은 육류, 파스타, 치즈",칠레에서 가장 빠르게 성장한 Wine of Chile Awards 2003 Carmenere 품종으로 최다 수상한 대외적으로 인정받고 있는 와이너리,http://www.wine.co.kr/wine/160
8,Casa Silva Quinta Generacion Cab-Car-Petit Verdo ,http://www.wine.co.kr/upload/products/wineList/chile/CasaSilvaQuintaGeneracionCabCarPetitVerdo.png,14.0%,750ml,Red,Still,Dry,"카버네 소비뇽, 기타","칠레, Colchagua Valley","붉은 과일향, 후추 커피향이 잘 조화를 이루고 있으며, 약간의 쵸콜릿 향이 조화를 더욱 돋보이게 합니다","입 안에서는 잘 숙성되어 있으면서도, 파워풀하고 중후한 바디감을 느끼실 수 있습니다. 부드러우면서도 스위티한 탄닌 맛이 오래 지속되는 와인입니다.",Casa Silva,짙은 루비 빛,"붉은 육류, 파스타, 치즈",칠레에서 가장 빠르게 성장한 Wine of Chile Awards 2003 Carmenere 품종으로 최다 수상한 대외적으로 인정받고 있는 와이너리,http://www.wine.co.kr/wine/166
9,San Felice Rosso di Montalcino DOCG ,http://www.wine.co.kr/upload/products/wineList/italy/SanFeliceRossodiMontalcinoDOCG.png,13.0%,750ml,Red,Still,Dry,기타,"이태리, 토스카나, 몬탈치노","체리, 블랙베리의 향과 함께 자극적인 삼나무향",훌륭한 구조감과 함께 풍부한 과일 맛을 느낄 수 있습니다.,산펠리체,루비레드,"돼지고기, 송아지 정강이살 요리, 고기나 버섯이 들어간 파스타",장기 숙성을 해야하는 부르넬로 디 몬탈치노에 비해 좀 더 짧게 숙성을 해서 쉽고 가볍게 마실 수 있도록 만든 와인입니다.,http://www.wine.co.kr/wine/326
