,title,image_link,winery,country,province,grape_type,wine_type,alcohol,sweetness,acidity,body_rate,tannin_rate,food_pairing,price,vintage,size,link,aroma,meat,cheese,seafood,vegetables,dessert,floral,fruit,citrus,oriental_spice,oriental_leather,earth,dark_aroma,fruity_aroma,europe_a,europe_b,north_america,south_america,new_world,korea,red,white,wine_id,type
47,"미쉘 린치, 보르도 화이트 오가닉",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167482.png?677457,미쉘 린취 - 장 미쉘 까즈,프랑스,보르도,소비뇽 블랑,white,12.5,1.0,4.0,2.0,1.0,가벼운 치즈와 해산물 등과 잘 어울린다.,48000.0,2016,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=167482,"옅은 노란색을 띠고 바닐라, 복숭아, 헤이즐넛의 아로마가 느껴진다. 입 안에서는 신선한 시트러스, 이국적인 과실, 자몽, 흰 꽃의 향이 풍부하고 리치의 맛이 긴 여운을 남기는 와인이다.
48,000원 (750㎖) 동원와인플러스",0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,47,a
89,"마쏘 안티코, 피아노",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167217.png?729100,쉥크 이탈리안 와이너리즈,이탈리아,깜빠니아,피아노,white,13.5,1.0,4.0,2.0,1.0,"새우, 게 등의 갑각류, 신선한 치즈 등과 잘 어울린다.",38000.0,2018,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=167217,"연노란색을 띠고 아몬드, 감귤, 열대과일의 아로마가 느껴진다. 입 안에서는 신선하면서 밸런스가 좋고 피니쉬가 기분 좋은 와인이다.

우드배럴에서 3개월 숙성했다.
38,000원 (750㎖) 올빈와인",0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,89,a
94,"얄리, 프리미엄 릴리즈 언오크드 샤르도네",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167189.jpg?774816,얄리,칠레,아콩카구아,샤르도네,white,13.5,1.0,4.0,2.0,1.0,"해산물 요리, 리조또, 파스타, 흰 살 육류 요리, 가벼운 치즈 등과 잘 어울린다.",19000.0,2017,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=167189,"옅은 노란색을 띠고, 레몬, 자몽의 시트러스 과일 향, 푸르고 산뜻한 허브향이 신선하게 피어 오른다. 라이트한 바디의 와인으로 신선한 산도와 산뜻한 과실향이 청량감을 주며 깔끔하게 프레쉬한 여운을 남기는 와인이다.

발효 전 14시간의 저온 침용을 세심하게 컨트롤 하여 껍질과 압착된 주스간의 접촉 시간을 충분히 주어 포도 본연이 가진 시트러스 계열의 레몬, 오렌지 및 자몽의 아로마와 푸릇한 허브의 우아한 향을 최대로 끌어내었다. 2개월간의 앙금 접촉 과정을 통해 산도와 미네랄리티가 부드럽게 느껴지며 산뜻한 과일향과 어우러져 무겁지 않은 데일리 와인으로 즐기기 좋은 와인이다.

19,800원 (750㎖) 레뱅드매일",1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,94,a
141,"카잘 파르네토, 베르디끼오",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167009.jpg?512892,카잘 파르네토,이탈리아,마르케,베르디키오 비앙코,white,13.5,1.0,4.0,2.0,1.0,"갑각류, 각종 생선요리, 해산물 파스타, 해산물 리조또 등과 잘 어울린다.",36000.0,2018,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=167009,"옅은 노란색을 띠고 풋사과, 꽃향, 산사나무향, 섬세하게 퍼지는 시트러스, 아몬드의 아로마가 느껴진다. 입 안에서는 가볍고 편하게 즐길 수 있는 신선한 스타일의 와인으로 견과류의 풍미와 함께 느껴지는 미네랄리티가 인상적인 와인이다.
36,000원 (750㎖) 엘비",0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,141,a
150,"오미나 로마나, 에르메스 디악토로스 비앙코",http://img.wine21.com/WINE_MST/TITLE/0166000/W0166989.jpg?130969,오미나 로마나,이탈리아,라치오,비오니에,white,13.5,1.0,4.0,2.0,1.0,"파슽, 대구, 살라미 등과 잘 어울린다.",76000.0,2014,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=166989,"밝은 황금색을 띠고 이국적인 과일향, 감귤, 백후추, 허브, 유칼립투스의 아로마가 느껴지며 입 안에서는 산뜻하면서 짭짤한 미네랄의 느낌이 나는 와인이다.

스테인리스 스틸에서 3개월간 숙성했다.
76,000원 (750㎖) 빈티지코리아",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,150,a
158,"카탈리나 사운즈, 피노 누아",http://img.wine21.com/WINE_MST/TITLE/0166000/W0166963.jpg?495726,카탈리나 사운즈,뉴질랜드,사우스,피노 누아,red,13.5,1.0,4.0,2.0,2.0,"닭고기, 오리고기, 치즈 등과 잘 어울린다.",76000.0,2017,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=166963,"연한 루비색을 띠고 레드베리와 허브의 아로마가 느껴지며 라즈베리, 체리, 마른 허브의 맛과 신선한 산도가 어우러지는 동시에 오크향의 터치가 인상적인 와인이다.

프렌치 오크통에서 4개월간 숙성했다.
76,000원 (750㎖) 빈티지코리아",1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,158,a
160,"카탈리나  사운즈, 소비뇽 블랑",http://img.wine21.com/WINE_MST/TITLE/0166000/W0166961.jpg?773973,카탈리나 사운즈,뉴질랜드,사우스,소비뇽 블랑,white,12.5,1.0,4.0,2.0,1.0,"신선한 해산물 요리, 샐러드, 고트 치즈 등과 잘 어울린다.",60000.0,2017,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=166961,"옅은 볏짚색을 띠고 시트러스, 허브향의 아로마가 느껴지며 진하고 풍부한 과일의 맛과 길고 깨끗한 여운을 주는 와인이다.
60,000원 (750㎖) 빈티지코리아",0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,160,a
168,"폴리샥, 소비뇽 블랑",http://img.wine21.com/WINE_MST/TITLE/0166000/W0166953.jpg?111191,폴리샥,슬로베니아,비파바,소비뇽 블랑,white,12.5,1.0,4.0,2.0,1.0,"아스파라거스, 흰살생선, 신선한 초록 허브가 곁들여진 음식과 잘 어울린다.",66000.0,2016,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=166953,"옅은 초록색을 띠고 토마토잎, 민트의 신선한 과일향이 느껴지며 입 안에서는 꽃 내음, 향신료의 느낌으로 오래가는 여운을 보여준다.
66,000원 (750㎖) 빈티지코리아",0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,168,a
170,"수토르, 샤도네이",http://img.wine21.com/WINE_MST/TITLE/0166000/W0166951.jpg?795527,수토르,슬로베니아,비파바,샤르도네,white,13.5,1.0,4.0,2.0,1.0,"샐러드, 치즈, 해산물 등과 잘 어울린다.",106000.0,2014,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=166951,"짙은 황금색을 띠고 메론, 시나몬, 복숭아, 향신료의 아로마가 느껴지며 미디엄 바디와 기름진 텍스쳐, 신선한 터치감이 매력적인 와인이다.

큰 오크통에서 12개월간 숙성했다.
106,000원 (750㎖) 빈티지코리아",0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,170,a
171,"수토르, 소비뇽 블랑",http://img.wine21.com/WINE_MST/TITLE/0166000/W0166950.jpg?887517,수토르,슬로베니아,비파바,소비뇽 블랑,white,13.5,1.0,5.0,2.0,1.0,"샐러드, 카르파치오, 해산물과 잘 어울린다.",106000.0,2014,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=166950,"짙은 황금색을 띠고 토마토 잎, 구즈베리, 복숭아, 바닐라, 토스트의 아로마가 느껴지며 입 안에서는 풍부한 과실의 아로마와 드라이한 바디감이 느껴지는 와인이다.

큰 오크통에서 12개월간 숙성했다.
106,000원 (750㎖) 빈티지코리아",0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,171,a
