,title,image_link,winery,country,province,grape_type,wine_type,alcohol,sweetness,acidity,body_rate,tannin_rate,food_pairing,price,vintage,size,link,aroma,meat,cheese,seafood,vegetables,dessert,floral,fruit,citrus,oriental_spice,oriental_leather,earth,dark_aroma,fruity_aroma,europe_a,europe_b,north_america,south_america,new_world,korea,red,white,wine_id
0,트리풀라 피에몬테 로쏘,http://img.wine21.com/WINE_MST/TITLE/0167000/W0167827.png?452747,몬도 델 비노,이탈리아,피에몬테,바르베라,red,13.5,1.0,3.0,3.0,3.0,"피자, 파스타,  붉은 육류,  그리고 치즈 플레이트와 잘 어울리며, 특유의 산도가 없는 편이라 색이 강한 한식들과 곁들여 보는 것도 추천한다.",68000.0,2017,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=167827,"다채로운 꽃 향과 오디의 과실향이 완벽하게 어우러져 있으며, 비교적 낮은 산도와 부드러운 타닌으로 보랏빛과 짙은 붉은색을 띠는 균형이 조화로운 와인이다.
68,000원 (750㎖) 몬도델비노 코리아",1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
1,엘리자베스 로제 샤도네이,http://img.wine21.com/WINE_MST/TITLE/0167000/W0167791.png?353710,고스트 블락 와이너리 ,미국,캘리포니아,샤르도네,white,13.5,1.0,4.0,3.0,1.0,"치즈, 해산물, 샐러드 등과 잘 어울린다.",135000.0,2018,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=167791,"밝고 투명한 볏짚색을 띠고 신선한 하얀 배와 리치, 애플리콧, 시트러스의 아로마가 느껴진다. 입 안에서는 레몬 껍질 같은 산뜻한 산미와 함께 깔끔하고 부드러운 피니쉬로 마무리되어, 어떤 음식과도 좋은 궁합을 자랑하는 섬세한 와인이다. 50% 뉴트럴 프렌치 오크통에서 9개월간 숙성했다.
135,000원 (750㎖) 와인투유코리아",0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
2,"맥매니스, 캘리포니아 피노 누아",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167789.png?952444,맥매니스 와이너리,미국,캘리포니아,피노 누아,red,13.5,1.0,4.0,3.0,3.0,"치즈, 오리고기 등과 잘 어울린다.",65000.0,2019,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=167789,"짙은 루비색을 띠고 달콤한 딸기잼과 신선한 체리의 아로마가 느껴진다. 입 안에서는 바닐라, 크림, 블루베리의 풍미가 조화롭게 어울리고 붉은 과실향이 부드럽게 혀를 감싸주며 깔끔하고 긴 피니쉬로 이어지는 와인이다. 프렌치와 아메리칸 오크통에서 숙성했다.
65,000원 (750㎖) 와인투유코리아",1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2
3,"백하우스, 피노 누아",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167788.png?467248,백하우스,미국,캘리포니아,피노 누아,red,13.5,1.0,4.0,3.0,3.0,"치즈, BBQ, 구운 고기, 버섯 요리 등과 잘 어울린다.",48000.0,2018,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=167788,"루비색을 띠고 완숙한 블랙베리, 산딸기 등의 과실향, 은은한 바닐라, 오크의 아로마가 느껴진다. 입 안에서는 검붉은 과실향과 은은한 바닐라, 오크향이 기분좋게 다가오며 부드럽고
생동감 넘치는 섬세한 타닌을 느낄 수 있는 와인이다.
48,000원 (750㎖) 엘비",1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3
4,"백하우스, 샤도네이",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167787.png?165736,백하우스,미국,캘리포니아,샤르도네,white,13.5,1.0,3.0,3.0,1.0,"해산물 샐러드, 생선요리, 가금류요리 등과 잘 어울린다.",48000.0,2018,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=167787,"황금빛을 띠고 감귤, 멜론, 복숭아등의 신선한 과실 아로마가 느껴진다. 입 안에서는 신선하고 풍부한 열대과실이 피어오르고 균형잡힌 산도가 부드럽고 깔끔한 느낌을 전달하는 와인이다.
48,000원 (750㎖) 엘비",0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4
5,"백하우스, 까베르네 소비뇽",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167786.png?128758,백하우스,미국,캘리포니아,카베르네 소비뇽,red,13.5,1.0,3.0,4.0,3.0,"향이 강한 치즈, 구운 고기류, 파스타 등과 잘 어울린다.",48000.0,2018,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=167786,"진한 루비색을 띠고 블랙 커런트, 체리 등의 블랙계열류의 과실향, 약간의 스파이시 아로마가 느껴진다. 입 안에서는 농익은 과실 풍미와 신선하고 부드러운 타닌으로 푸드매칭이 용이한 와인이다.
48,000원 (750㎖) 엘비",1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5
6,"올리비에 르플레브, 부르고뉴 “옹끌 뱅썽”",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167785.png?111864,올리비에 르플레브,프랑스,부르고뉴,샤르도네,white,13.5,1.0,4.0,3.0,1.0,"생선 요리, 조개류, 흰 살 고기를 활용한 요리 등과 잘 어울린다.",170000.0,2016,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=167785,"엷은 황금빛을 띠고 버터리, 배, 복숭아, 흰과일의 아로마가 느껴진다. 입 안에서는 강렬한 시트러스, 크리미한 질감, 오크의 여운이 남는 와인이다. 오크통에서 12개월간 숙성했다.
170,000원 (750㎖) 빈티지코리아",1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6
7,레이디 그레이삭,http://img.wine21.com/WINE_MST/TITLE/0167000/W0167784.png?826133,도멘 롤랑드비,프랑스,보르도,메를로,red,13.5,1.0,3.0,3.0,3.0,"치즈, 스테이크 등과 잘 어울린다.",40000.0,2017,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=167784,"보라색을 띠고 블랙 커런트, 블랙 베리, 스파이시의 아로마가 느껴진다. 입 안에서는 우아한 구조감의 미디엄 바디, 섬세한 타닌, 진중한 과일 풍미가 압권인 와인이다.
40,000원 (750㎖) 빈티지코리아",1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7
8,"도멘 앙리, 샤블리 프리미에 크뤼 ‘푸흐숌므’",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167783.png?642854,도멘 앙리,프랑스,부르고뉴,샤르도네,white,13.5,1.0,4.0,3.0,1.0,"해산물 플래터, 바다가재, 가자미 요리 등과 잘 어울린다.",170000.0,2017,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=167783,"밝은 노란색을 띠고 농익은 노란 복숭아, 청사과, 스파이시한 생강의 아로마가 느껴진다. 입 안에서는 핵과류의 풍미, 충분한 산도, 섬세하고 긴 피니쉬, 약간의 흰 후추향이 매력적인 와인이다.
170,000원 (750㎖) 빈티지코리아",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8
9,"도멘 앙리, 샤블리 프리미에 크뤼 ‘트호엠므’",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167782.png?795622,도멘 앙리,프랑스,부르고뉴,샤르도네,white,12.5,1.0,4.0,3.0,1.0,"돼지고기, 연어, 참치, 갑각류, 향이 연한 치즈 등과 잘 어울린다.",144000.0,2017,750.0,https://www.wine21.com/13_search/wine_view.html?Idx=167782,"엷은 노란색을 띠고 레몬 필, 흰 꽃, 복숭아, 브리오슈의 아로마가 느껴진다. 입 안에서는 감칠맛 나면서 부드럽고 긴 피니쉬에 중간 밀도의 크리미한 질감, 스치는 씁쓸한이 인상적인 와인이다.
144,000원 (750㎖) 빈티지코리아",1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9
