title,image_link,winery,country,province,grape_type,wine_type,occasion,alcohol,sweetness,acidity,body_rate,tannin_rate,food_pairing,price,vintage,size
트리풀라 피에몬테 로쏘,http://img.wine21.com/WINE_MST/TITLE/0167000/W0167827.png?845155,몬도델비노,이탈리아,피에몬테,"['바르베라', '네비올로']",레드,테이블 와인,13.5,1,3,3,3,"피자, 파스타,  붉은 육류,  그리고 치즈 플레이트와 잘 어울리며, 특유의 산도가 없는 편이라 색이 강한 한식들과 곁들여 보는 것도 추천한다.",68000,2017,750
아케시 로사토 브뤼,http://img.wine21.com/WINE_MST/TITLE/0167000/W0167826.png?375118,몬도델비노,이탈리아,피에몬테,"['바르베라', '돌체토']",스파클링,"에피타이저, 테이블 와인",11.5,1,3,3,1,식전 와인으로 적합하며 전체요리나 기름진 생선요리와 잘 어울린다.,55000,NV,750
엘리자베스 로제 샤도네이,http://img.wine21.com/WINE_MST/TITLE/0167000/W0167791.png?802484,고스트 블락 와이너리 ,미국,캘리포니아,['샤르도네'],화이트,"에피타이저, 테이블 와인",13.5,1,4,3,1,"치즈, 해산물, 샐러드 등과 잘 어울린다.",135000,2018,750
"맥매니스, 캘리포니아 피노 누아",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167789.png?273500,맥매니스 와이너리,미국,캘리포니아,['피노 누아'],레드,테이블 와인,13.5,1,4,3,3,"치즈, 오리고기 등과 잘 어울린다.",65000,2019,750
"백하우스, 피노 누아",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167788.png?698617,백하우스,미국,캘리포니아,['피노 누아'],레드,테이블 와인,13.5,1,4,3,3,"치즈, BBQ, 구운 고기, 버섯 요리 등과 잘 어울린다.",48000,2018,750
"백하우스, 샤도네이",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167787.png?328686,백하우스,미국,캘리포니아,['샤르도네'],화이트,"에피타이저, 테이블 와인",13.5,1,3,3,1,"해산물 샐러드, 생선요리, 가금류요리 등과 잘 어울린다.",48000,2018,750
"백하우스, 까베르네 소비뇽",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167786.png?816926,백하우스,미국,캘리포니아,['카베르네 소비뇽'],레드,테이블 와인,13.5,1,3,4,3,"향이 강한 치즈, 구운 고기류, 파스타 등과 잘 어울린다.",48000,2018,750
"올리비에 르플레브, 부르고뉴 “옹끌 뱅썽”",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167785.png?252429,올리비에 르플레브,프랑스,부르고뉴,['샤르도네'],화이트,"에피타이저, 테이블 와인",13.5,1,4,3,1,"생선 요리, 조개류, 흰 살 고기를 활용한 요리 등과 잘 어울린다.",170000,2016,750
레이디 그레이삭,http://img.wine21.com/WINE_MST/TITLE/0167000/W0167784.png?723326,도멘 롤랑드비,프랑스,보르도,"['메를로', '카베르네 소비뇽']",레드,테이블 와인,13.5,1,3,3,3,"치즈, 스테이크 등과 잘 어울린다.",40000,2017,750
"도멘 앙리, 샤블리 프리미에 크뤼 ‘푸흐숌므’",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167783.png?111572,도멘 앙리,프랑스,부르고뉴,['샤르도네'],화이트,"에피타이저, 테이블 와인",13.5,1,4,3,1,"해산물 플래터, 바다가재, 가자미 요리 등과 잘 어울린다.",170000,2017,750
"도멘 앙리, 샤블리 프리미에 크뤼 ‘트호엠므’",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167782.png?596005,도멘 앙리,프랑스,부르고뉴,['샤르도네'],화이트,"에피타이저, 테이블 와인",12.5,1,4,3,1,"돼지고기, 연어, 참치, 갑각류, 향이 연한 치즈 등과 잘 어울린다.",144000,2017,750
"도멘 앙리, 샤블리 ‘쌩 삐에흐’",http://img.wine21.com/WINE_MST/TITLE/0167000/W0167781.png?141102,도멘 앙리,프랑스,부르고뉴,['샤르도네'],화이트,"에피타이저, 테이블 와인",13.5,1,4,2,1,"연어, 참치, 갑각류, 향이 연하고 부드러운 치즈, 치킨 파히타 등과 잘 어울린다.",116000,2018,750
